item_id,item_name,item_category_id,brand,pack_size_value,pack_size_uom,pack_count,tier,is_perishable,shelf_life_days,mrp_inr,unit_cost_inr,gst_rate
1,Coca-Cola Seasonal Specials 500g x12 (Premium),61,Coca-Cola,500,g,12,Premium,0,361,810.62,729.22,0.05
2,Monster Baby Care 250g x3 (Economy),35,Monster,250,g,3,Economy,0,669,403.34,348.95,0.12
3,Kissan Hardware 100g x4 (Regular),70,Kissan,100,g,4,Regular,0,551,656.48,553.63,0.18
4,Catch Dishwash 50g x1 (Regular),40,Catch,50,g,1,Regular,0,640,92.15,80.92,0.12
5,ITC Baking Supplies 250g x1 (Regular),25,ITC,250,g,1,Regular,0,146,143.48,116.33,0.05
6,Dabur Batteries 2000ml x5 (Regular),67,Dabur,2000,ml,5,Regular,0,320,1194.51,947.09,0.12
7,Britannia Biscuits 200g x5 (Regular),13,Britannia,200,g,5,Regular,0,697,357.7,315.3,0.0
8,Red Bull Shaving 2000ml x2 (Regular),79,Red Bull,2000,ml,2,Regular,0,351,3202.01,2578.98,0.18
9,Lifebuoy Home Furnishing 500g x2 (Economy),52,Lifebuoy,500,g,2,Economy,0,414,827.57,728.82,0.12
10,Colgate Category 90 250ml x2 (Regular),90,Colgate,250,ml,2,Regular,0,139,2376.45,1994.58,0.18
11,Patanjali Chocolates 1000g x4 (Regular),14,Patanjali,1000,g,4,Regular,0,181,379.89,344.8,0.05
12,Amul Frozen Foods 750ml x24 (Regular),16,Amul,750,ml,24,Regular,1,7,617.13,488.86,0.05
13,ITC Men's Grooming 750ml x5 (Economy),33,ITC,750,ml,5,Economy,0,636,550.05,503.5,0.05
14,Ariel Packaged Foods 50g x2 (Regular),10,Ariel,50,g,2,Regular,0,570,41.91,33.37,0.05
15,Aashirvaad Bakery 1000ml x3 (Regular),3,Aashirvaad,1000,ml,3,Regular,1,3,485.21,400.9,0.05
16,Coca-Cola Dry Fruits 100ml x2 (Regular),24,Coca-Cola,100,ml,2,Regular,0,416,179.51,161.53,0.0
17,Colgate Seasonal Specials 250ml x24 (Premium),61,Colgate,250,ml,24,Premium,0,516,845.9,734.47,0.05
18,Red Bull Shaving 1000g x6 (Regular),79,Red Bull,1000,g,6,Regular,0,682,3490.57,3009.91,0.12
19,Saffola Frozen Foods 1000ml x1 (Regular),16,Saffola,1000,ml,1,Regular,1,25,284.18,236.85,0.0
20,Britannia Pet Food Premium 750ml x4 (Economy),88,Britannia,750,ml,4,Economy,0,520,721.98,663.55,0.18
21,Lifebuoy Pulses 1000ml x10 (Premium),5,Lifebuoy,1000,ml,10,Premium,0,411,735.11,656.19,0.0
22,Sunfeast Pulses 500g x4 (Regular),5,Sunfeast,500,g,4,Regular,0,529,387.16,308.07,0.0
23,ITC Gardening 500g x10 (Economy),56,ITC,500,g,10,Economy,0,574,1091.64,953.96,0.12
24,Fortune Pulses 750ml x24 (Economy),5,Fortune,750,ml,24,Economy,0,624,591.25,523.0,0.0
25,Harpic Category 94 200g x6 (Regular),94,Harpic,200,g,6,Regular,0,663,1238.95,1024.33,0.18
26,Catch Baby Food 200ml x2 (Economy),19,Catch,200,ml,2,Economy,0,237,52.34,43.84,0.0
27,"Bikaji Tea, Coffee 250ml x10 (Economy)",9,Bikaji,250,ml,10,Economy,0,101,124.92,102.55,0.0
28,Ariel Gifting Combos 2000ml x5 (Economy),63,Ariel,2000,ml,5,Economy,0,312,306.06,265.73,0.12
29,Saffola Hair Care 250ml x24 (Regular),30,Saffola,250,ml,24,Regular,0,441,648.97,590.29,0.0
30,Patanjali Home Décor 50ml x5 (Regular),81,Patanjali,50,ml,5,Regular,0,707,2933.7,2645.94,0.12
31,Amul Health 750ml x2 (Regular),36,Amul,750,ml,2,Regular,0,438,266.82,238.41,0.05
32,Lifebuoy Fresh Produce 500ml x1 (Premium),1,Lifebuoy,500,ml,1,Premium,1,13,221.26,196.65,0.05
33,Fortune Ready-to-Eat 500ml x1 (Premium),11,Fortune,500,ml,1,Premium,0,555,113.75,93.89,0.05
34,Appy Spices 50ml x10 (Regular),7,Appy,50,ml,10,Regular,0,384,433.18,369.78,0.05
35,Dove Snacks 1000g x2 (Regular),12,Dove,1000,g,2,Regular,0,312,70.07,55.72,0.0
36,Red Bull Health Drinks 200ml x10 (Regular),18,Red Bull,200,ml,10,Regular,0,581,169.72,146.16,0.0
37,Surf Excel Pulses 2000ml x1 (Economy),5,Surf Excel,2000,ml,1,Economy,0,125,368.94,301.06,0.05
38,Pears Cosmetics 750ml x1 (Premium),77,Pears,750,ml,1,Premium,0,111,3425.87,3059.6,0.28
39,Lifebuoy Home Furnishing 500g x1 (Regular),52,Lifebuoy,500,g,1,Regular,0,300,809.64,736.99,0.05
40,Amul Bath 750ml x24 (Economy),32,Amul,750,ml,24,Economy,0,563,430.62,336.35,0.05
41,Everest Sanitary 2000g x1 (Regular),80,Everest,2000,g,1,Regular,0,389,1367.64,1232.77,0.18
42,Kellogg's Pet Care 200g x10 (Economy),46,Kellogg's,200,g,10,Economy,0,160,571.13,467.25,0.12
43,Bikaji Bedding 1000ml x2 (Regular),53,Bikaji,1000,ml,2,Regular,0,179,267.82,212.74,0.05
44,Red Bull Gardening 50g x1 (Premium),56,Red Bull,50,g,1,Premium,0,124,719.69,571.31,0.18
45,Monster Skin Care 1000g x6 (Premium),31,Monster,1000,g,6,Premium,0,631,407.24,321.59,0.12
46,Tata Breakfast Cereals 750g x5 (Economy),20,Tata,750,g,5,Economy,0,543,173.59,137.05,0.0
47,Aashirvaad Shaving 1000ml x1 (Economy),79,Aashirvaad,1000,ml,1,Economy,0,556,2042.35,1656.88,0.18
48,Lizol Soft Drinks 1000g x24 (Regular),26,Lizol,1000,g,24,Regular,0,323,179.41,164.72,0.0
49,Tata Skin Care 50ml x4 (Premium),31,Tata,50,ml,4,Premium,0,557,253.49,226.38,0.12
50,Lifebuoy Baby Food 1000g x1 (Regular),19,Lifebuoy,1000,g,1,Regular,0,616,61.55,49.38,0.0
51,Aashirvaad Air Fresheners 100g x3 (Economy),41,Aashirvaad,100,g,3,Economy,0,168,612.69,496.36,0.12
52,Red Bull Dishwash 200ml x1 (Regular),40,Red Bull,200,ml,1,Regular,0,140,116.06,95.83,0.12
53,Bikaji Skin Care 1000ml x10 (Economy),31,Bikaji,1000,ml,10,Economy,0,260,325.28,267.13,0.05
